# 982 Renju five-move openings, ascending 1-blackActual-whiteActual.
# GTP coordinates: column I is skipped; black moves first. See README.md.
# Source: renju500k_ratio_0.5_to_2_sorted_by_drawrate.csv; strict 0.5 < B/W < 2.
# B(+8) and W(-8) are independent 500k evaluations; inferred D can be negative.
15 C7 C9 C6 C8 D7 # opening-16742 B=0.110233361 W=0.199536219 D=0.690230420
15 B7 A7 C7 C6 B6 # opening-17461 B=0.125640335 W=0.183524093 D=0.690835573
15 G14 G12 H14 H15 F13 # opening-5320 B=0.204398395 W=0.103829780 D=0.691771825
15 N4 M4 N5 O4 N3 # opening-48420 B=0.196457395 W=0.111457833 D=0.692084772
15 C10 E10 E9 B9 D10 # opening-42247 B=0.165240361 W=0.142403217 D=0.692356423
15 A11 B11 C11 A10 C12 # opening-45258 B=0.152229151 W=0.155257279 D=0.692513569
15 M8 L8 M7 N8 N7 # opening-3010 B=0.139972250 W=0.167494438 D=0.692533312
15 F10 G10 G7 F8 E9 # opening-49787 B=0.125281256 W=0.181522271 D=0.693196473
15 E14 D13 F13 C13 E13 # opening-15873 B=0.190890388 W=0.115247920 D=0.693861693
15 D4 E5 E4 F3 E6 # opening-12550 B=0.102661097 W=0.203430992 D=0.693907910
15 L12 L11 K11 L10 L9 # opening-17662 B=0.106919608 W=0.199100867 D=0.693979524
15 E12 E11 F11 G11 F10 # opening-9539 B=0.105101201 W=0.200876867 D=0.694021932
